EJER;BILSEG;ENHED;TID;INDHOLD
I alt;Medium SUV;Gennemsnitlig km pr liter (liter);2005M03;11,9
I alt;Medium SUV;Gennemsnitlig slagvolumen (cm3);2005M03;0,0
I alt;Large SUV;Ny registrerede biler (antal);2005M03;50,0
I alt;Large SUV;Købspris (mio. kr);2005M03;33,2
I alt;Large SUV;Gennemsnitlig købspris (kr.);2005M03;663720,0
I alt;Large SUV;Gennemsnitlig motoreffekt (kW);2005M03;0,0
I alt;Large SUV;Gennemsnitlig km pr liter (liter);2005M03;9,9
I alt;Large SUV;Gennemsnitlig slagvolumen (cm3);2005M03;0,0
I alt;Andre bilsegmenter;Ny registrerede biler (antal);2005M03;1,0
I alt;Andre bilsegmenter;Købspris (mio. kr);2005M03;0,4
I alt;Andre bilsegmenter;Gennemsnitlig købspris (kr.);2005M03;409829,0
I alt;Andre bilsegmenter;Gennemsnitlig motoreffekt (kW);2005M03;0,0
I alt;Andre bilsegmenter;Gennemsnitlig km pr liter (liter);2005M03;10,4
I alt;Andre bilsegmenter;Gennemsnitlig slagvolumen (cm3);2005M03;0,0
I alt;Uoplyst;Ny registrerede biler (antal);2005M03;224,0
I alt;Uoplyst;Købspris (mio. kr);2005M03;107,7
I alt;Uoplyst;Gennemsnitlig købspris (kr.);2005M03;480646,0
I alt;Uoplyst;Gennemsnitlig motoreffekt (kW);2005M03;0,0
I alt;Uoplyst;Gennemsnitlig km pr liter (liter);2005M03;11,5
I alt;Uoplyst;Gennemsnitlig slagvolumen (cm3);2005M03;0,0
I alt;Small;Ny registrerede biler (antal);2005M03;2953,0
I alt;Small;Købspris (mio. kr);2005M03;470,1
I alt;Small;Gennemsnitlig købspris (kr.);2005M03;159196,0
I alt;Small;Gennemsnitlig motoreffekt (kW);2005M03;0,0
I alt;Small;Gennemsnitlig km pr liter (liter);2005M03;17,2
I alt;Small;Gennemsnitlig slagvolumen (cm3);2005M03;0,0
I alt;Medium;Ny registrerede biler (antal);2005M03;3680,0
I alt;Medium;Købspris (mio. kr);2005M03;886,7
I alt;Medium;Gennemsnitlig købspris (kr.);2005M03;240947,0
I alt;Medium;Gennemsnitlig motoreffekt (kW);2005M03;0,0
I alt;Medium;Gennemsnitlig km pr liter (liter);2005M03;15,3
I alt;Medium;Gennemsnitlig slagvolumen (cm3);2005M03;0,0
I alt;Large;Ny registrerede biler (antal);2005M03;2542,0
I alt;Large;Købspris (mio. kr);2005M03;828,3
I alt;Large;Gennemsnitlig købspris (kr.);2005M03;325830,0
I alt;Large;Gennemsnitlig motoreffekt (kW);2005M03;0,0
I alt;Large;Gennemsnitlig km pr liter (liter);2005M03;13,6
I alt;Large;Gennemsnitlig slagvolumen (cm3);2005M03;0,0
I alt;Executive;Ny registrerede biler (antal);2005M03;183,0
I alt;Executive;Købspris (mio. kr);2005M03;116,6
I alt;Executive;Gennemsnitlig købspris (kr.);2005M03;637190,0
I alt;Executive;Gennemsnitlig motoreffekt (kW);2005M03;0,0
I alt;Executive;Gennemsnitlig km pr liter (liter);2005M03;12,0
I alt;Executive;Gennemsnitlig slagvolumen (cm3);2005M03;0,0
I alt;Luxury;Ny registrerede biler (antal);2005M03;5,0
I alt;Luxury;Købspris (mio. kr);2005M03;7,7
I alt;Luxury;Gennemsnitlig købspris (kr.);2005M03;1530322,0
I alt;Luxury;Gennemsnitlig motoreffekt (kW);2005M03;0,0
I alt;Luxury;Gennemsnitlig km pr liter (liter);2005M03;10,1
I alt;Luxury;Gennemsnitlig slagvolumen (cm3);2005M03;0,0
I alt;Sport;Ny registrerede biler (antal);2005M03;71,0
I alt;Sport;Købspris (mio. kr);2005M03;26,1
I alt;Sport;Gennemsnitlig købspris (kr.);2005M03;367344,0
I alt;Sport;Gennemsnitlig motoreffekt (kW);2005M03;0,0
I alt;Sport;Gennemsnitlig km pr liter (liter);2005M03;14,0
I alt;Sport;Gennemsnitlig slagvolumen (cm3);2005M03;0,0
I alt;Small MPV;Ny registrerede biler (antal);2005M03;1038,0
I alt;Small MPV;Købspris (mio. kr);2005M03;220,9
I alt;Small MPV;Gennemsnitlig købspris (kr.);2005M03;212782,0
I alt;Small MPV;Gennemsnitlig motoreffekt (kW);2005M03;0,0
I alt;Small MPV;Gennemsnitlig km pr liter (liter);2005M03;14,7
I alt;Small MPV;Gennemsnitlig slagvolumen (cm3);2005M03;0,0
I alt;Large MPV;Ny registrerede biler (antal);2005M03;331,0
I alt;Large MPV;Købspris (mio. kr);2005M03;114,2
I alt;Large MPV;Gennemsnitlig købspris (kr.);2005M03;344930,0
I alt;Large MPV;Gennemsnitlig motoreffekt (kW);2005M03;0,0
I alt;Large MPV;Gennemsnitlig km pr liter (liter);2005M03;13,0
I alt;Large MPV;Gennemsnitlig slagvolumen (cm3);2005M03;0,0
I husholdningerne;I alt;Ny registrerede biler (antal);2005M03;8397,0
I husholdningerne;I alt;Købspris (mio. kr);2005M03;1865,1
I husholdningerne;I alt;Gennemsnitlig købspris (kr.);2005M03;222115,0
I husholdningerne;I alt;Gennemsnitlig motoreffekt (kW);2005M03;0,0
I husholdningerne;I alt;Gennemsnitlig km pr liter (liter);2005M03;15,9
I husholdningerne;I alt;Gennemsnitlig slagvolumen (cm3);2005M03;0,0
I husholdningerne;Mini;Ny registrerede biler (antal);2005M03;1091,0
I husholdningerne;Mini;Købspris (mio. kr);2005M03;123,9
I husholdningerne;Mini;Gennemsnitlig købspris (kr.);2005M03;113564,0
I husholdningerne;Mini;Gennemsnitlig motoreffekt (kW);2005M03;0,0
I husholdningerne;Mini;Gennemsnitlig km pr liter (liter);2005M03;20,6
I husholdningerne;Mini;Gennemsnitlig slagvolumen (cm3);2005M03;0,0
I husholdningerne;Small SUV;Ny registrerede biler (antal);2005M03;177,0
I husholdningerne;Small SUV;Købspris (mio. kr);2005M03;42,2
I husholdningerne;Small SUV;Gennemsnitlig købspris (kr.);2005M03;238566,0
I husholdningerne;Small SUV;Gennemsnitlig motoreffekt (kW);2005M03;0,0
I husholdningerne;Small SUV;Gennemsnitlig km pr liter (liter);2005M03;12,1
I husholdningerne;Small SUV;Gennemsnitlig slagvolumen (cm3);2005M03;0,0
I husholdningerne;Medium SUV;Ny registrerede biler (antal);2005M03;33,0
I husholdningerne;Medium SUV;Købspris (mio. kr);2005M03;12,0
I husholdningerne;Medium SUV;Gennemsnitlig købspris (kr.);2005M03;364165,0
I husholdningerne;Medium SUV;Gennemsnitlig motoreffekt (kW);2005M03;0,0
