"Kommunale budgetter (1000 kr.) efter prisenhed, art, dranst,"
"hovedkonto, kommune og tid"

" ";" ";" ";" ";" ";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Pr. indbygger, løbende priser (kr.)"
" ";"I alt (netto)"
" ";" ";"1 Driftskonti"
" ";" ";" ";"I alt hovedkonto 0-6"
" ";" ";" ";" ";"Hele landet";62646;65787;65976;63317;62952;63846;63997;64388
" ";" ";" ";" ";"Region Hovedstaden";63195;66353;65430;63773;63415;63929;64012;64194
" ";" ";" ";" ";"København";64851;67829;65429;64073;63275;63448;62802;62035
" ";" ";" ";" ";"Frederiksberg";54306;57480;55197;53831;53822;54341;54671;55600
" ";" ";" ";" ";"Dragør";52290;56555;58103;59196;56866;57194;57466;58661
" ";" ";" ";" ";"Tårnby";59388;61351;63340;60670;60732;61013;61849;63588
" ";" ";" ";" ";"Albertslund";78479;80632;81097;78600;79852;79962;79944;80680
" ";" ";" ";" ";"Ballerup";71739;74817;75511;71329;72942;75208;75790;76555
" ";" ";" ";" ";"Brøndby";76312;80474;81956;76334;76311;78118;79087;80681
" ";" ";" ";" ";"Gentofte";52792;55510;57241;54729;54702;55165;56092;56433
" ";" ";" ";" ";"Gladsaxe";64105;65902;67442;67379;63941;64353;64628;64988
" ";" ";" ";" ";"Glostrup";68105;70159;68124;67152;68467;69373;70789;70984
" ";" ";" ";" ";"Herlev";69453;72503;72332;67964;67971;67766;69402;69629
" ";" ";" ";" ";"Hvidovre";70275;72224;69537;68894;69244;70014;70810;71829
" ";" ";" ";" ";"Høje-Taastrup";68197;72493;70415;68835;68876;69595;70732;71189
" ";" ";" ";" ";"Ishøj";79406;82491;83499;78507;77981;78386;78702;78231
" ";" ";" ";" ";"Lyngby-Taarbæk";58400;61503;62143;59838;60106;60604;61491;61592
" ";" ";" ";" ";"Rødovre";70700;74002;76319;71933;72204;74231;72825;72703
" ";" ";" ";" ";"Vallensbæk";52656;56258;57599;58510;56735;56893;57325;58812
" ";" ";" ";" ";"Allerød";53637;57905;58226;56462;57056;57274;57257;57196
" ";" ";" ";" ";"Egedal";51292;54436;55302;55806;55881;56689;57049;57614
" ";" ";" ";" ";"Fredensborg";62998;66753;66555;62481;61916;64033;63614;64629
" ";" ";" ";" ";"Frederikssund";62547;65471;64395;63450;63556;63756;64685;64710
" ";" ";" ";" ";"Furesø";59251;63020;65033;61639;61159;61287;62167;62856
" ";" ";" ";" ";"Gribskov";59154;63507;62914;63879;60588;62920;62359;64221
" ";" ";" ";" ";"Halsnæs";66625;69793;67108;66996;67355;67179;68595;69749
" ";" ";" ";" ";"Helsingør";65886;70632;67826;67339;67942;67244;66975;67449
" ";" ";" ";" ";"Hillerød";58915;61646;60617;60101;60982;61845;61673;62145
" ";" ";" ";" ";"Hørsholm";55092;58717;59941;57489;57429;57425;57880;58095
" ";" ";" ";" ";"Rudersdal";54177;57814;59154;56559;56843;57253;57637;58235
" ";" ";" ";" ";"Bornholm";71172;75477;71497;71267;71158;72714;73416;74698
" ";" ";" ";" ";"Region Sjælland";62658;66158;67338;64526;63589;64517;64918;65612
" ";" ";" ";" ";"Greve";58284;60738;58833;58871;57967;58419;59182;60312
" ";" ";" ";" ";"Køge";61725;65352;67316;63756;64134;64482;65924;66037
" ";" ";" ";" ";"Lejre";55125;57569;59560;60442;57484;57135;58498;58860
" ";" ";" ";" ";"Roskilde";59961;62263;63154;59602;60502;61526;62246;63260
" ";" ";" ";" ";"Solrød";52844;55731;54970;54549;55354;56903;56627;57611
" ";" ";" ";" ";"Faxe";59963;63897;61658;61578;62258;62974;64160;63852
" ";" ";" ";" ";"Guldborgsund";66918;70745;72335;66478;67176;68629;68631;69875
" ";" ";" ";" ";"Holbæk";61099;64304;65486;66399;61508;62625;61643;62430
" ";" ";" ";" ";"Kalundborg";66307;69989;72030;69371;67205;68533;68216;67467
" ";" ";" ";" ";"Lolland";79952;85615;88846;82746;79598;80372;81836;84146
