"Kommunale regnskaber (1000 kr.) efter prisenhed, art, dranst,"
"hovedkonto, område og tid"

" ";" ";" ";" ";" ";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Pr. indbygger, løbende priser (kr.)"
" ";"I alt (netto)"
" ";" ";"1 Driftskonti"
" ";" ";" ";"I alt hovedkonto 0-6"
" ";" ";" ";" ";"Hele landet";61613;64577;62277;61732;62124;62387;62787;63694
" ";" ";" ";" ";"Region Hovedstaden";62369;65133;63069;62346;62397;62238;62563;63133
" ";" ";" ";" ";"København";63255;66149;63684;61698;61106;60449;60035;59450
" ";" ";" ";" ";"Frederiksberg";54552;56052;54075;53313;53656;53928;54021;55157
" ";" ";" ";" ";"Dragør";51841;53794;53467;55076;56582;57052;57314;60624
" ";" ";" ";" ";"Tårnby";58748;60256;59930;59620;60128;61917;61989;63611
" ";" ";" ";" ";"Albertslund";75871;78927;77617;76041;78346;77673;79791;79805
" ";" ";" ";" ";"Ballerup";72816;74574;70305;71374;72773;73082;74286;76248
" ";" ";" ";" ";"Brøndby";75850;78421;75122;74167;75202;75015;76464;78407
" ";" ";" ";" ";"Gentofte";52096;54695;54424;54420;54043;54148;55001;56988
" ";" ";" ";" ";"Gladsaxe";61996;65769;62787;62024;62718;61765;62369;63362
" ";" ";" ";" ";"Glostrup";67572;70321;67140;67477;67527;68921;69212;71620
" ";" ";" ";" ";"Herlev";70284;73438;69246;66983;67685;67962;70095;71040
" ";" ";" ";" ";"Hvidovre";69441;71772;68317;68558;69258;69836;71126;71457
" ";" ";" ";" ";"Høje-Taastrup";68256;70450;68161;68357;69423;69644;70689;71197
" ";" ";" ";" ";"Ishøj";77253;80068;77890;77324;76043;75677;74693;76406
" ";" ";" ";" ";"Lyngby-Taarbæk";58733;60489;59075;59156;59857;59646;60877;62267
" ";" ";" ";" ";"Rødovre";69412;72996;71662;70476;70812;71864;71665;72666
" ";" ";" ";" ";"Vallensbæk";51805;54701;55340;56764;56868;55838;56423;56402
" ";" ";" ";" ";"Allerød";51810;56497;55058;55486;55601;54740;56130;57042
" ";" ";" ";" ";"Egedal";51876;53346;52717;54844;56414;55492;56052;56233
" ";" ";" ";" ";"Fredensborg";62280;66220;63790;64737;62527;62467;63188;64518
" ";" ";" ";" ";"Frederikssund";60190;62639;61684;61088;62998;63006;63468;62579
" ";" ";" ";" ";"Furesø";59750;62504;60568;60715;61082;60514;60905;62127
" ";" ";" ";" ";"Gribskov";57797;61529;59982;61658;60718;61982;62944;65568
" ";" ";" ";" ";"Halsnæs";65914;68711;67983;67601;67425;67469;67937;69124
" ";" ";" ";" ";"Helsingør";67115;70075;67233;67300;67134;66934;66870;67359
" ";" ";" ";" ";"Hillerød";59346;62180;60399;60633;60636;60503;61286;61938
" ";" ";" ";" ";"Hørsholm";53551;58247;57559;57305;57932;57029;56560;59345
" ";" ";" ";" ";"Rudersdal";53730;57235;56868;56751;56979;57000;57562;58560
" ";" ";" ";" ";"Bornholm";70613;73598;71058;68592;68479;69964;72379;74339
" ";" ";" ";" ";"Region Sjælland";62025;65288;63370;62667;63327;63650;64048;65177
" ";" ";" ";" ";"Greve";56916;59030;57464;56819;56949;57320;58196;59649
" ";" ";" ";" ";"Køge";60393;64667;62177;61244;62037;62513;64493;64619
" ";" ";" ";" ";"Lejre";54483;57827;57361;58510;58475;56876;58297;59501
" ";" ";" ";" ";"Roskilde";58153;60239;59180;59029;59772;60827;61709;62154
" ";" ";" ";" ";"Solrød";50207;53166;53358;54969;55273;54935;55015;55976
" ";" ";" ";" ";"Faxe";59814;62097;60727;59752;60488;60640;62491;62920
" ";" ";" ";" ";"Guldborgsund";66654;69987;67748;66210;66710;68103;68878;71206
" ";" ";" ";" ";"Holbæk";61203;63943;61829;60750;62544;62443;60197;60742
" ";" ";" ";" ";"Kalundborg";66668;70123;67280;65350;66325;66007;66531;67599
" ";" ";" ";" ";"Lolland";78618;83131;80631;79959;82129;81840;82540;85448
